Date,Close,Volume,Open,High,Low
2016-09-16,205.4,3104266,200.42,205.7,199.0
2016-09-19,206.34,2298318,207.0,209.43,205.0
2016-09-20,204.64,2408556,206.85,207.75,203.91
2016-09-21,205.22,2631285,206.37,207.0,201.56
2016-09-22,206.43,2381600,206.4,207.28,203.0
2016-09-23,207.45,2904125,205.99,210.18,205.67
2016-09-26,208.99,2393373,206.5,211.0,206.5
2016-09-27,205.81,3367907,209.65,209.98,204.61
2016-09-28,206.27,2079324,207.51,208.25,205.26
2016-09-29,200.7,2714040,205.6,207.33,200.58
2016-09-30,204.03,2581730,202.21,204.98,199.55
2016-10-03,213.7,5989342,212.3,215.67,208.25
2016-10-04,211.41,3537953,213.1,213.32,208.82
2016-10-05,208.46,1872456,212.24,213.15,208.12
2016-10-06,201.0,4697937,202.46,204.21,200.21
2016-10-07,196.61,3489480,201.0,201.32,195.8
2016-10-10,200.95,3311340,201.35,204.14,199.66
2016-10-11,200.1,2326754,201.85,202.2,198.31
2016-10-12,201.51,1969099,200.95,203.88,200.42
2016-10-13,200.24,2495140,200.5,200.9,197.05
2016-10-14,196.51,4265471,200.66,201.43,196.3
2016-10-17,193.96,4518331,197.05,198.39,192.0
2016-10-18,199.1,5676046,195.99,199.47,193.26
2016-10-19,203.56,6966185,199.74,206.66,198.06
2016-10-20,199.1,5069410,202.12,203.0,197.05
2016-10-21,200.09,2936908,198.6,201.57,197.41
2016-10-24,202.76,2747344,201.0,203.95,200.25
2016-10-25,202.34,2442118,202.9,204.69,201.2
2016-10-26,202.24,5346893,201.0,203.19,200.1
2016-10-27,204.01,13070990,211.34,213.7,201.65
2016-10-28,199.97,4273456,204.0,205.32,199.83
2016-10-31,197.73,4691320,202.49,202.49,195.81
2016-11-01,190.79,7023674,198.04,198.5,188.11
2016-11-02,188.02,4242250,190.05,192.7,187.51
2016-11-03,187.42,2644550,189.0,191.47,187.04
2016-11-04,190.56,5143915,189.0,193.46,185.96
2016-11-07,193.21,3857682,193.59,194.29,190.05
2016-11-08,194.94,3252927,193.79,197.49,191.26
2016-11-09,190.06,8166447,186.88,192.0,183.95
2016-11-10,185.35,6746290,191.05,191.61,180.42
2016-11-11,188.56,3987091,184.24,188.88,183.0
2016-11-14,181.45,6547913,188.0,188.25,178.19
2016-11-15,183.77,3899743,182.78,186.43,182.05
2016-11-16,183.93,3432668,182.65,184.73,181.21
2016-11-17,188.66,4880969,183.49,189.49,182.11
2016-11-18,185.02,5206473,190.65,193.0,185.0
2016-11-21,184.52,4355872,185.04,188.89,184.41
2016-11-22,191.17,5601238,185.84,191.47,183.71
2016-11-23,193.14,4890285,190.61,195.64,189.0
2016-11-25,196.65,2366098,193.64,197.24,193.64
2016-11-28,196.12,4521082,195.48,199.35,194.55
2016-11-29,189.57,4435312,195.56,196.73,189.5
2016-11-30,189.4,3544891,191.0,191.89,187.5
2016-12-01,181.88,5119105,188.25,188.53,181.0
2016-12-02,181.47,4040201,182.88,184.88,180.0
2016-12-05,186.8,4069480,182.51,188.89,182.51
2016-12-06,185.85,3389365,185.52,186.58,182.68
2016-12-07,193.15,5457071,186.15,193.4,185.0
2016-12-08,192.29,3193684,192.05,192.5,189.54
2016-12-09,192.18,2720937,190.87,193.84,190.81
2016-12-12,192.43,2436428,192.8,194.42,191.04
2016-12-13,198.15,6819322,193.18,201.28,193.0
2016-12-14,198.69,4147314,198.74,203.0,196.76
2016-12-15,197.58,3218653,198.41,200.74,197.39
2016-12-16,202.49,3795444,198.08,202.59,197.6
2016-12-19,202.73,3486937,202.49,204.45,199.84
2016-12-20,208.79,4684269,203.05,209.0,202.5
2016-12-21,207.7,5206143,208.45,212.23,207.41
2016-12-22,208.45,3108427,208.22,209.99,206.5
2016-12-23,213.34,4668263,208.0,213.45,207.71
2016-12-27,219.53,5913335,214.88,222.25,214.42
2016-12-28,219.74,3778544,221.53,223.8,217.2
2016-12-29,214.68,4043086,218.56,219.2,214.12
2016-12-30,213.69,4641288,216.3,217.5,211.68
2017-01-03,216.99,5901494,214.86,220.33,210.96
2017-01-04,226.99,11204560,214.75,228.0,214.31
2017-01-05,226.75,5908927,226.42,227.48,221.95
2017-01-06,229.01,5524153,226.93,230.31,225.45
2017-01-09,231.28,3972716,228.97,231.92,228.0
2017-01-10,229.87,3658981,232.0,232.0,226.89
2017-01-11,229.73,3649910,229.07,229.98,226.68
2017-01-12,229.59,3787547,229.06,230.7,225.58
2017-01-13,237.75,6085610,230.0,237.85,229.59
2017-01-17,235.58,4614731,236.7,239.96,234.37
2017-01-18,238.36,3767272,236.65,239.71,235.58
2017-01-19,243.76,7717244,247.25,248.68,240.75
2017-01-20,244.73,4199720,245.46,246.0,243.01
2017-01-23,248.92,6262097,245.85,250.89,245.5
2017-01-24,254.61,4958144,250.0,254.8,249.65
2017-01-25,254.47,5145301,257.31,258.46,251.8
2017-01-26,252.51,3143717,254.29,255.74,250.75
2017-01-27,252.95,3161774,251.38,253.0,248.52
2017-01-30,250.63,3798638,252.53,255.29,247.1
2017-01-31,251.93,4112013,249.24,255.89,247.7
2017-02-01,249.24,3953105,253.05,253.2,249.05
2017-02-02,251.55,2498799,248.34,252.42,247.71
2017-02-03,251.33,2185230,251.91,252.18,249.68
2017-02-06,257.77,3557600,251.0,257.82,250.63
2017-02-07,257.48,4244063,258.19,260.0,256.42
2017-02-08,262.08,3912428,257.35,263.36,256.2
2017-02-09,269.2,7812600,266.25,271.18,266.15
2017-02-10,269.23,3618336,269.79,270.95,266.11
2017-02-13,280.6,7023072,270.74,280.79,270.51
2017-02-14,280.98,7341450,279.03,287.39,278.61
2017-02-15,279.76,4943879,280.0,282.24,276.44
2017-02-16,268.95,7063860,277.6,280.0,268.5
2017-02-17,272.23,6251469,265.8,272.89,264.15
2017-02-21,277.39,5647575,275.45,281.4,274.01
2017-02-22,273.51,8537811,280.31,283.45,272.6
2017-02-23,255.99,14877090,264.0,264.66,255.56
2017-02-24,257.0,8166869,252.66,258.25,250.2
2017-02-27,246.23,11450160,248.17,248.36,242.01
2017-02-28,249.99,6073890,244.19,251.0,243.9
2017-03-01,250.02,4804963,254.18,254.85,249.11
2017-03-02,250.48,3345751,249.71,253.28,248.27
2017-03-03,251.57,2925481,250.74,251.9,249.0
2017-03-06,251.21,3353601,247.91,251.7,247.51
2017-03-07,248.59,3452587,251.92,253.89,248.32
2017-03-08,246.87,3726746,247.0,250.07,245.32
2017-03-09,244.9,3876494,247.63,248.66,243.0
2017-03-10,243.69,3062785,246.21,246.5,243.0
2017-03-13,246.17,3011280,244.82,246.85,242.78
2017-03-14,258.0,7581719,246.11,258.12,246.02
2017-03-15,255.73,5233365,257.0,261.0,254.27
2017-03-16,262.05,7127180,262.4,265.75,259.06
2017-03-17,261.5,6491018,264.0,265.33,261.2
2017-03-20,261.92,3601616,260.6,264.55,258.82
2017-03-21,250.68,6901555,262.83,264.8,250.24
2017-03-22,255.01,4056735,251.56,255.07,250.51
2017-03-23,254.78,3309844,255.39,257.67,253.3
2017-03-24,263.16,5637668,255.7,263.89,255.01
2017-03-27,270.22,6221361,260.6,270.57,259.75
2017-03-28,277.45,7978665,277.02,280.68,275.0
2017-03-29,277.38,3672526,278.34,279.6,275.54
2017-03-30,277.92,4141437,278.04,282.0,277.21
2017-03-31,278.3,3293698,278.73,279.68,276.32
2017-04-03,298.52,13864850,286.9,299.0,284.58
2017-04-04,303.7,10108230,296.89,304.81,294.53
2017-04-05,295.0,7858565,302.04,304.88,294.2
2017-04-06,298.7,5517731,296.88,301.94,294.1
2017-04-07,302.54,4566632,297.5,302.69,297.15
2017-04-10,312.39,7653623,309.15,313.73,308.71
2017-04-11,308.71,5718053,313.38,313.47,305.5
2017-04-12,296.84,6043648,306.34,308.45,296.32
2017-04-13,304.0,9275682,296.7,307.39,295.3
2017-04-17,301.44,4128067,302.7,304.0,298.68
2017-04-18,300.25,3034225,299.7,300.84,297.9
2017-04-19,305.52,3891145,302.46,306.62,302.11
2017-04-20,302.51,6145961,306.51,309.15,300.23
2017-04-21,305.6,4501958,302.0,306.4,300.42
2017-04-24,308.03,5077771,309.22,310.55,306.02
2017-04-25,313.79,6734162,308.0,313.98,305.86
2017-04-26,310.17,4683131,312.37,314.5,309.0
2017-04-27,308.63,3462663,311.69,313.09,307.5
2017-04-28,314.07,4496659,309.83,314.8,308.0
2017-05-01,322.83,8819888,314.88,327.25,314.81
2017-05-02,318.89,5316551,324.0,327.66,316.56
2017-05-03,311.02,6879259,317.67,321.53,310.45
2017-05-04,295.46,14135990,307.44,307.77,290.76
2017-05-05,308.35,8117449,298.0,308.55,296.8
2017-05-08,307.19,7002907,310.9,313.79,305.82
2017-05-09,321.26,9663374,309.38,321.99,309.1
2017-05-10,325.22,5734524,321.56,325.5,318.12
2017-05-11,323.1,4747172,323.4,326.0,319.6
2017-05-12,324.81,4118613,325.48,327.0,321.53
2017-05-15,315.88,7606854,318.38,320.2,312.53
2017-05-16,317.01,4141066,317.59,320.06,315.14
2017-05-17,306.11,6695657,314.39,314.63,305.5
2017-05-18,313.06,5609153,307.0,313.94,305.31
2017-05-19,310.83,4654580,315.5,316.5,310.2
2017-05-22,310.35,4324305,312.8,314.37,306.8
2017-05-23,303.86,4314267,310.46,310.73,303.48
2017-05-24,310.22,5035192,306.51,311.0,305.4
2017-05-25,316.83,5000432,311.02,316.97,307.81
2017-05-26,325.14,7793009,317.28,325.49,316.31
2017-05-30,335.1,7771536,326.0,336.28,325.76
2017-05-31,341.01,9937556,337.69,342.89,335.16
2017-06-01,340.37,7601764,344.0,344.88,337.29
2017-06-02,339.85,5583952,339.77,342.88,335.93
2017-06-05,347.32,6769174,338.5,348.44,334.21
2017-06-06,352.85,11031920,344.7,359.49,339.97
2017-06-07,359.65,9348692,356.34,360.5,355.14
2017-06-08,370.0,9028677,363.75,371.9,360.22
2017-06-09,357.32,17250060,374.42,376.87,354.8
2017-06-12,359.01,10507860,357.99,364.5,350.62
2017-06-13,375.95,11773370,367.62,376.0,366.61
2017-06-14,380.66,12778480,381.09,384.25,376.31
2017-06-15,375.34,10412650,372.5,375.46,366.49
2017-06-16,371.4,6347450,377.98,378.01,370.1
2017-06-19,369.8,6433434,375.0,376.7,367.8
2017-06-20,372.24,7419110,376.67,378.88,369.73
2017-06-21,376.4,4916770,374.35,376.99,368.02
2017-06-22,382.61,7510406,377.99,385.0,373.57
2017-06-23,383.45,6425180,382.45,386.99,379.35
2017-06-26,377.49,6596854,386.69,386.95,373.1
2017-06-27,362.37,6977494,376.4,376.4,362.02
2017-06-28,371.24,6290323,366.68,371.74,362.52
2017-06-29,360.75,8202463,370.61,371.0,354.1
2017-06-30,361.61,5823046,363.71,366.77,359.62
2017-07-03,352.62,6305401,370.24,371.35,351.5
2017-07-05,327.09,16998300,347.2,347.24,326.33
2017-07-06,308.83,19258040,317.26,320.79,306.3
2017-07-07,313.22,14129950,313.5,317.0,307.38
2017-07-10,316.05,13760290,312.9,317.94,303.13
2017-07-11,327.22,11526760,316.0,327.28,314.3
2017-07-12,329.52,10317240,330.4,333.1,324.5
2017-07-13,323.41,8582315,330.11,331.6,319.97
2017-07-14,327.78,5607924,323.19,328.42,321.22
2017-07-17,319.57,9827506,325.54,327.1,313.45
2017-07-18,328.24,6360710,317.5,329.13,315.66
2017-07-19,325.26,6345884,328.23,331.65,323.22
2017-07-20,329.92,5142516,326.9,330.22,324.2
2017-07-21,328.4,4871708,329.46,331.26,325.8
2017-07-24,342.52,8598292,330.24,343.4,330.01
2017-07-25,339.6,6977932,345.0,345.6,334.15
2017-07-26,343.85,4809514,340.36,345.5,338.12
2017-07-27,334.46,8285879,346.0,347.5,326.29
2017-07-28,335.07,4869891,336.89,339.6,332.51
2017-07-31,323.47,8525454,335.5,341.49,321.04
2017-08-01,319.57,8284997,323.0,324.45,316.13
2017-08-02,325.89,11942350,318.94,327.12,311.22
2017-08-03,347.09,13524270,345.33,350.0,343.15
2017-08-04,356.91,9233295,347.0,357.27,343.3
2017-08-07,355.17,6309331,357.35,359.48,352.75
2017-08-08,365.22,7431838,357.53,368.58,357.4
2017-08-09,363.53,6881182,361.0,370.0,358.95
2017-08-10,355.4,7063054,361.6,366.65,354.66
2017-08-11,357.87,4357562,356.97,361.26,353.62
2017-08-14,363.8,4507969,364.63,367.66,362.6
2017-08-15,362.33,3084601,365.2,365.49,359.37
2017-08-16,362.91,3406173,363.0,366.5,362.52
2017-08-17,351.92,5010825,361.21,363.3,351.59
2017-08-18,347.46,5390805,352.91,354.0,345.8
2017-08-21,337.86,6489850,345.82,345.82,331.85
2017-08-22,341.35,4314268,341.13,342.24,337.37
2017-08-23,352.77,4941947,338.99,353.49,338.3
2017-08-24,352.93,4571574,352.52,356.66,349.74
2017-08-25,348.05,3475186,354.24,355.69,347.3
2017-08-28,345.66,3746240,347.28,347.35,339.72
2017-08-29,347.36,4069303,339.48,349.05,338.75
2017-08-30,353.18,3404165,349.67,353.47,347.0
2017-08-31,355.9,4063330,353.55,358.44,352.82
2017-09-01,355.4,3048550,356.12,357.59,353.69
2017-09-05,349.59,3836402,353.8,355.49,345.89
2017-09-06,344.53,4082001,349.5,350.98,341.56
2017-09-07,350.61,4235045,345.98,352.48,343.45
2017-09-08,343.4,3261333,348.99,349.78,342.3
2017-09-11,363.69,7651000,351.35,363.71,350.0
2017-09-12,362.75,5966204,364.49,368.76,360.4
2017-09-13,366.23,4171185,363.82,368.07,359.59
2017-09-14,377.64,7170263,364.33,377.96,362.63
2017-09-15,379.81,5407227,374.51,380.0,372.7
2017-09-18,385.0,7177773,380.25,389.61,377.68
2017-09-19,375.1,6435208,380.0,382.39,373.57
2017-09-20,373.91,4909958,373.0,378.25,371.07
2017-09-21,366.48,4610872,374.9,376.83,364.51
2017-09-22,351.09,8142895,366.49,369.9,350.88
2017-09-25,344.99,7587158,353.15,357.47,342.88
2017-09-26,345.25,7149649,350.93,351.24,340.9
2017-09-27,340.97,6027375,349.9,351.49,340.5
2017-09-28,339.6,5309779,339.88,342.75,335.4
2017-09-29,341.1,5099051,341.86,344.68,338.6
2017-10-02,341.53,5227547,342.52,343.7,335.51
2017-10-03,348.14,10122550,335.9,348.55,331.28
2017-10-04,355.01,8147995,351.25,358.62,349.6
2017-10-05,355.33,4167913,356.0,357.44,351.35
2017-10-06,356.88,4272866,353.1,360.1,352.25
2017-10-09,342.94,7461461,349.65,351.75,342.67
2017-10-10,355.59,6972263,346.8,355.63,345.53
2017-10-11,354.6,4494733,353.89,357.6,351.15
2017-10-12,355.68,4073552,352.95,359.78,352.64
2017-10-13,355.57,3538807,356.98,358.49,353.68
2017-10-16,350.6,5373090,353.76,354.48,347.16
2017-10-17,355.75,3290290,350.91,356.22,350.07
2017-10-18,359.65,4936024,355.97,363.0,354.13
2017-10-19,351.81,5055715,355.56,357.15,348.2
2017-10-20,345.1,4925657,352.69,354.55,344.34
2017-10-23,337.02,5739598,349.88,349.95,336.25
2017-10-24,337.34,4485692,338.8,342.8,336.16
2017-10-25,325.84,8583619,336.7,337.5,323.56
2017-10-26,326.17,5010087,327.78,330.23,323.2
2017-10-27,320.87,6968365,319.75,324.59,316.66
2017-10-30,320.08,4247619,319.18,323.78,317.25
2017-10-31,331.53,5650062,320.23,331.95,320.18
2017-11-01,321.08,8242487,332.25,332.61,320.26
2017-11-02,299.26,19771280,300.13,308.69,292.63
2017-11-03,306.09,8885933,299.5,306.25,295.13
2017-11-06,302.78,6480689,307.0,307.5,299.01
2017-11-07,306.05,5284844,301.02,306.5,300.03
2017-11-08,304.39,4725355,305.5,306.89,301.3
2017-11-09,302.99,5440173,302.5,304.46,296.3
2017-11-10,302.99,4621080,302.5,308.36,301.85
2017-11-13,315.4,7565242,300.13,316.8,299.11
2017-11-14,308.7,5661904,315.0,316.35,306.9
2017-11-15,311.3,5951835,306.01,312.49,301.5
2017-11-16,312.5,5794409,313.99,318.14,311.3
2017-11-17,315.05,13720830,325.67,326.67,313.15
2017-11-20,308.74,8241821,313.79,315.5,304.75
2017-11-21,317.81,7256381,310.86,318.23,308.71
2017-11-22,312.6,4913283,316.77,317.42,311.84
2017-11-24,315.55,3244065,313.79,316.41,311.0
2017-11-27,316.81,4537779,313.25,317.34,309.51
2017-11-28,317.55,4941703,316.36,320.0,313.92
2017-11-29,307.54,8757463,317.3,318.0,301.23
2017-11-30,308.85,4345434,308.56,310.7,304.54
2017-12-01,306.53,4286082,305.44,310.32,305.05
2017-12-04,305.2,5834227,306.5,308.27,300.61
2017-12-05,303.7,4643708,302.0,308.0,301.0
2017-12-06,313.26,7184477,300.1,313.39,300.0
2017-12-07,311.24,4779590,312.0,318.63,311.05
2017-12-08,315.13,3466088,314.6,316.98,311.26
2017-12-11,328.91,7926090,314.63,329.01,313.75
2017-12-12,341.03,8715570,330.45,341.44,330.03
2017-12-13,339.03,6217701,340.93,344.22,336.5
2017-12-14,337.89,5792024,341.01,347.44,336.9
2017-12-15,343.45,6921246,342.04,343.9,335.76
2017-12-18,338.87,5466546,344.9,346.73,337.58
2017-12-19,331.1,6820868,340.26,341.49,330.3
2017-12-20,328.98,5907378,332.69,333.1,325.04
2017-12-21,331.66,4369994,329.59,333.74,327.21
2017-12-22,325.2,4207602,329.51,330.92,324.82
2017-12-26,317.29,4368699,323.83,323.94,316.58
2017-12-27,311.64,4705084,316.0,317.68,310.75
2017-12-28,315.36,4306746,311.75,315.82,309.54
2017-12-29,311.35,3769504,316.18,316.41,310.0
2018-01-02,320.53,4345615,312.0,322.11,311.0
2018-01-03,317.25,4438520,321.0,325.25,315.55
2018-01-04,314.62,9944593,312.87,318.55,305.68
2018-01-05,316.58,4588728,316.62,317.24,312.0
2018-01-08,336.41,9832610,316.0,337.02,315.5
2018-01-09,333.69,7134525,335.16,338.8,327.41
2018-01-10,334.8,4303053,332.2,337.0,330.0
2018-01-11,337.95,6640863,335.24,344.81,333.26
2018-01-12,336.22,4822509,338.63,340.41,333.67
2018-01-16,340.06,6429234,337.54,345.0,334.8
2018-01-17,347.16,7092554,340.47,349.0,339.75
2018-01-18,344.57,5679629,345.67,352.3,343.74
2018-01-19,350.02,4871181,345.0,350.59,342.6
2018-01-22,351.56,6199777,349.4,357.83,349.2
2018-01-23,352.79,5447622,360.0,360.5,351.0
2018-01-24,345.89,5277386,354.58,354.75,343.52
2018-01-25,337.64,6725208,348.27,349.2,336.4
2018-01-26,342.85,4535457,341.5,344.0,335.71
2018-01-29,349.53,4738208,339.85,350.85,338.28
2018-01-30,345.82,4710684,345.14,348.27,342.17
2018-01-31,354.31,6199373,347.51,356.19,345.19
2018-02-01,349.25,4187440,351.0,359.66,348.63
2018-02-02,343.75,3696157,348.44,351.95,340.51
2018-02-05,333.13,4441166,337.97,344.47,333.0
2018-02-06,333.97,5080032,325.21,336.22,323.5
2018-02-07,345.0,6729682,338.99,346.0,335.66
2018-02-08,315.23,10296420,343.31,348.62,314.6
2018-02-09,310.42,12924430,319.93,320.98,294.76
2018-02-12,315.73,6224479,316.13,318.08,306.25
2018-02-13,323.66,4554631,315.02,324.19,312.51
2018-02-14,322.31,3948077,320.84,326.17,318.52
2018-02-15,334.07,5909823,324.5,334.12,322.4
2018-02-16,335.49,5640184,332.5,343.12,331.64
2018-02-20,334.77,4005962,334.47,340.84,331.5
2018-02-21,333.3,3207250,336.03,339.69,333.17
2018-02-22,346.17,6961880,335.53,347.44,334.75
2018-02-23,352.05,5814177,347.83,354.99,347.1
2018-02-26,357.42,4334500,353.5,359.0,352.36
2018-02-27,350.99,4785022,356.25,359.99,350.01
2018-02-28,343.06,6066044,352.57,355.24,342.22
2018-03-01,330.93,6872552,345.01,348.67,330.07
2018-03-02,335.12,5088789,326.98,335.22,322.97
2018-03-05,333.35,3820702,332.39,337.75,329.29
2018-03-06,328.2,4236483,333.75,336.37,327.03
2018-03-07,332.3,5001940,325.44,332.5,321.74
2018-03-08,329.1,3514367,332.86,333.3,326.27
2018-03-09,327.17,5502779,324.1,328.49,322.37
2018-03-12,345.51,8252919,328.61,347.21,326.5
2018-03-13,341.84,5960636,344.92,345.12,336.26
2018-03-14,326.63,7952152,336.76,339.81,323.93
2018-03-15,325.6,6554568,329.38,332.85,321.1
2018-03-16,321.35,6113365,325.96,327.4,319.07
2018-03-19,313.56,7467890,316.5,320.75,309.67
2018-03-20,310.55,4761031,314.87,316.25,308.76
2018-03-21,316.53,5954247,310.25,322.44,310.19
2018-03-22,309.1,4924928,313.89,318.82,308.18
2018-03-23,301.54,6639960,311.25,311.61,300.45
2018-03-26,304.18,8364937,307.34,307.59,291.36
2018-03-27,279.18,13787060,304.0,304.27,277.18
2018-03-28,257.78,20962280,264.58,268.68,252.1
2018-03-29,266.13,15014440,256.49,270.96,248.21
2018-04-02,252.48,16093290,256.26,260.33,244.59
2018-04-03,267.53,18829650,269.82,273.35,254.49
2018-04-04,286.94,19880180,252.78,288.37,252.0
2018-04-05,305.72,19025860,289.34,306.26,288.2
2018-04-06,299.3,13516530,301.0,309.28,295.5
2018-04-09,289.66,10241410,300.37,309.5,289.21
2018-04-10,304.7,11017010,298.97,307.1,293.68
2018-04-11,300.93,7470204,300.74,308.98,299.66
2018-04-12,294.08,7595525,302.32,303.95,293.68
2018-04-13,300.34,7319225,303.6,303.95,295.98
2018-04-16,291.21,6289497,299.0,299.66,289.01
2018-04-17,287.69,6931152,288.87,292.17,282.51
2018-04-18,293.35,6531563,291.08,300.24,288.16
2018-04-19,300.08,6083800,291.08,301.01,288.55
2018-04-20,290.24,5622630,295.17,299.98,289.75
2018-04-23,283.37,4880743,291.29,291.62,282.33
2018-04-24,283.46,5678242,285.0,287.09,278.46
2018-04-25,280.69,4000421,283.5,285.16,277.25
2018-04-26,285.48,4348108,278.75,285.79,276.5
2018-04-27,294.08,4346854,285.37,294.47,283.83
2018-04-30,293.9,4224068,293.61,298.73,292.5
2018-05-01,299.92,4614946,293.51,300.82,293.22
2018-05-02,301.15,8346176,298.57,306.85,297.78
2018-05-03,284.45,17339090,278.79,288.04,275.23
2018-05-04,294.09,8565506,283.0,296.86,279.52
2018-05-07,302.77,8673090,297.5,305.96,295.17
2018-05-08,301.97,5927447,300.8,307.75,299.0
2018-05-09,306.85,5712255,300.41,307.01,300.05
2018-05-10,305.02,5642771,307.5,312.99,304.11
2018-05-11,301.06,4665321,307.7,308.88,299.08
2018-05-14,291.97,7265501,303.32,304.94,291.62
2018-05-15,284.18,9509753,285.01,286.96,280.5
2018-05-16,286.48,5669644,283.83,288.81,281.56
2018-05-17,284.54,4418258,285.9,289.19,283.97
